artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Joji,BALLADS 1,YEAH RIGHT,1VGzxJnVQND7Cg5H5wGj14,0.672,0.588,1,-9.573,1,0.133,0.241,0.0992,0.204,169.033,174358,4
Jhené Aiko,Trip,While We're Young,4mL59LVbKgOpEACxraGYdr,0.649,0.791,2,-6.013,1,0.193,1.97e-06,0.108,0.811,128.023,236160,4
H.E.R.,H.E.R.,Focus,3tZs3nVjySLbL320lP4mvs,0.414,0.314,1,-12.943,0,0.0548,1.47e-05,0.117,0.09,84.993,200133,4
H.E.R.,I Used To Know Her,Could've Been (feat. Bryson Tiller),6oEVnWKgPqIEPc53OYDNqG,0.45,0.352,1,-11.733,0,0.267,3.8e-06,0.249,0.408,102.679,252747,4
Alextbh,Stoop So Low,Stoop So Low,6QMoHcXX5f6zP9LCAh8mNk,0.46,0.398,4,-9.074,0,0.0421,0.0,0.109,0.335,95.852,197938,4
UMI,Remember Me,Remember Me,630Ug0XtmhhFvAKo0PNuEI,0.84,0.344,5,-8.613,0,0.0374,3.36e-05,0.35,0.526,111.994,199227,4
UMI,Love Language,Love Affair,77louqSyp5KhwleVBa0nPW,0.613,0.488,8,-7.372,1,0.0959,2.13e-05,0.335,0.183,172.067,190960,4
UMI,Butterfly,Butterfly,4qkVALwOxCIEZ7I5gkZ3m4,0.785,0.27,5,-14.457,1,0.0892,0.00132,0.0953,0.12,131.894,160500,4
Finding Hope,Our Love,3:00 AM,5HsSsEeP3hU9QSfHZrzbtA,0.55,0.147,0,-18.675,0,0.0404,0.00102,0.286,0.0346,81.991,201951,4
Jackson Lundy,Calypso,Calypso,6ES1G1anjmjDdQsPzlFaXz,0.603,0.374,8,-13.626,1,0.202,0.000981,0.107,0.242,84.294,244460,4
SZA,Ctrl,Love Galore (feat. Travis Scott),0q75NwOoFiARAVp4EXU4Bs,0.795,0.594,0,-6.2,1,0.0748,0.0,0.162,0.409,135.002,275080,4
Post Malone,beerbongs & bentleys,Stay,4H7WNRErSbONkM06blBoGc,0.507,0.48,5,-5.418,1,0.0266,0.0,0.147,0.35,86.046,204427,4
Various Artists,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Sunflower - Spider-Man: Into the Spider-Verse,3KkXRkHbMCARz0aVfEt68P,0.76,0.479,2,-5.574,1,0.0466,0.0,0.0703,0.913,89.911,158040,4
Various Artists,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Invincible,6VS7wKwtvL2FvTupYSWZ9e,0.724,0.6,10,-4.391,0,0.29,0.000218,0.104,0.466,86.984,196387,4
Kendrick Lamar,Black Panther The Album Music From And Inspired By,The Ways (with Swae Lee),5jyyPsIGM2yqkZN9R3TmvN,0.727,0.72,11,-5.856,0,0.0488,1.21e-06,0.176,0.589,140.08,238893,4
88rising,Head In The Clouds,Midsummer Madness,6TodWdTSDfzwgYynTZSvJn,0.409,0.678,9,-7.731,1,0.0878,4.76e-06,0.167,0.168,89.968,280842,4
Sun Rai,Pocket Music,San Francisco Street,5pjWzUc1tVcewUTdDJd6Ce,0.877,0.542,2,-9.102,1,0.0419,0.132,0.0858,0.509,111.474,266704,4
RINI,My Favourite Clothes,My Favourite Clothes,5h5q02tgTORSKqYYkRfUU5,0.749,0.339,2,-9.041,1,0.144,1.36e-05,0.0838,0.291,119.928,257000,4
RINI,Camped,Camped,2kYDe95UATeXhuaEHhFJwb,0.632,0.375,8,-13.582,1,0.0422,1.98e-05,0.128,0.342,133.009,220602,4
88rising,Head In The Clouds,History,4TwVtW8hS5LyLoDtJGpUOg,0.554,0.589,3,-8.163,0,0.231,0.000257,0.0982,0.414,74.982,207308,4
Rich Brian,The Sailor,Drive Safe,6eDfe957aV4sqGnDhlSikJ,0.635,0.312,7,-8.134,1,0.0265,0.0,0.138,0.414,98.017,240118,4
Rich Brian,Amen,Glow Like Dat,7MXcmkmyxEYAJf04cbqKoI,0.787,0.586,10,-9.64,1,0.0695,0.000311,0.118,0.581,140.036,210862,4
"Tyler, The Creator",IGOR,EARFQUAKE,5hVghJ4KaYES3BFUATCYn0,0.554,0.498,9,-8.866,1,0.0685,5.98e-06,0.795,0.413,79.635,190067,4
"Tyler, The Creator",IGOR,ARE WE STILL FRIENDS?,5TxRUOsGeWeRl3xOML59Ai,0.216,0.497,10,-8.025,1,0.0371,2.39e-06,0.111,0.313,187.308,265480,3
Tom Misch,Geography,Movie,6pxElwU80zhjbCC77Vn8EI,0.785,0.379,7,-11.446,1,0.0732,0.0161,0.267,0.182,122.043,357357,3
Jeff Bernat,Afterwords,Once Upon a Time,7fU0YxB4RyawfEDv6vtYG7,0.709,0.302,2,-8.474,1,0.0425,0.0263,0.16,0.594,83.026,234107,4
Jeff Bernat,Changes,Changes,6YKb5UMzDOtfCfbPvJZ8XT,0.474,0.283,6,-8.25,0,0.143,5.55e-06,0.087,0.437,80.336,228571,4
Post Malone,Circles,Circles,4VginDwYTP2eaHJzO0QMjG,0.704,0.758,0,-3.537,1,0.0402,0.00144,0.0924,0.534,120.003,214907,4
Post Malone,Stoney (Deluxe),Deja Vu,0H8XeaJunhvpBdBFIYi6Sh,0.62,0.69,7,-6.508,1,0.0493,0.0,0.131,0.331,133.935,234213,4
Post Malone,Stoney,White Iverson,1Bi5t0q9j3nYXIZuZgSGvr,0.677,0.577,7,-7.671,1,0.0355,0.0,0.0776,0.329,130.05,256533,4
Post Malone,Stoney,Go Flex,2hCKzqwjRjhycKeZJvbloJ,0.663,0.489,5,-8.198,1,0.124,0.0,0.0769,0.117,81.959,179613,4
Post Malone,Stoney,Congratulations,6syOdAs4IK8kPWR7gDyjRw,0.629,0.817,6,-4.261,1,0.0357,0.0,0.317,0.466,123.087,220293,4
ODIE,Analogue,North Face,63bAGRSSX2V1hhPSP2NpBC,0.802,0.382,10,-7.356,1,0.0312,0.163,0.0783,0.581,99.969,196800,4
Drake,More Life,Passionfruit,5mCPDVBb16L4XQwDdbRUpz,0.809,0.463,11,-11.377,1,0.0396,0.085,0.109,0.364,111.98,298941,4
sky,over and over,over and over,1BNqVA2FpbCdwbCdNsrbKu,0.721,0.368,6,-9.376,1,0.037,2.36e-06,0.129,0.298,111.92,231437,3
